Name,Address,Borough,Surface Type,Permit Status,Number of Courts,Dates Open,Hours Open,Description/Local Tips,Latitude,Longitude,Google Maps Embed Code
John J Carty Park Tennis Courts,"Brooklyn, NY 11209, United States",Brooklyn,Hard,Required and Enforced,10,All Year,7am til dusk,,40.61229453,-74.03113,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3028.8084271435646!2d-74.03589360415938!3d40.61205018838795!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c24f7e9058a205%3A0x39a9f0aab294b2d2!2sJohn%20J.%20Carty%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754250897897!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Joseph T. McGuire Park Tennis Courts,"Brooklyn, NY 11234, United States",Brooklyn,Hard,"Required, but Rarely Checked",3,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.62013136,-73.89860402,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1514.2234462526733!2d-73.89985393250043!3d40.620025493284075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2432ddae85d0b%3A0x61b41459060db66c!2sMcGuire%20Fields%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754251016061!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Mckinley Park Tennis Courts,"806-898 Bay Ridge Pkwy, Brooklyn, NY 11228, United States",Brooklyn,Hard,"Required, but Rarely Checked",8,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.62597122,-74.017503,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3028.1843391840944!2d-74.02226660321045!3d40.625816500000006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c24543452893b7%3A0x49ae7010335f0ad5!2sMcKinley%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754251173589!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Linden Park Tennis Courts,"Stanley Ave, Brooklyn, NY 11207, United States",Brooklyn,Hard,Not Required,5,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.65861335,-73.88662969,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1526.75146302066!2d-73.88733323580249!3d40.65783740788042!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25d01986987a3%3A0xa4a5d4d272b6ab12!2sLinden%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754251319867!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Mcdonald Avenue Playground Tennis Courts,"2099 McDonald Ave, Brooklyn, NY 11223, United States",Brooklyn,Hard,"Required, but Rarely Checked",7,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.60061067,-73.97206031,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d757.3320244668863!2d-73.97269063037142!3d40.60058419821317!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c244fa1b12e5bf%3A0xe1da15efa857815e!2sMcDonald%20Playground!5e0!3m2!1sen!2s!4v1754251574770!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Shore Road Playground Tennis Courts,"9500 Shore Rd, Brooklyn, NY 11209, United States",Brooklyn,Hard,"Required, but Rarely Checked",4,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly. 6 doubles courts and 5 singles",40.61261522,-74.03694311,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3028.7909372027893!2d-74.03996863996088!3d40.61243603906178!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c24f8f0f7cedb3%3A0xc7ee634bf698a9da!2sShore%20Road%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754251738724!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Bensonhurst Park Tennis Courts,"9000 Bay Pkwy, Brooklyn, NY 11214, United States",Brooklyn,Hard,"Required, but Rarely Checked",7,All Year,7am til dusk,"• Indoor Season: Oct (after Columbus Day) - Apr (last Fri): All 7 courts bubbled; rent for a fee. For court reservations call (718) 866- 1031
• Outdoor Season: 6 courts available to Parks permit holders.",40.59511365,-74.00162952,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3029.584486223826!2d-74.00416152398017!3d40.59492627141152!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c245a144f025d1%3A0x5a9f9a56d644f954!2sBensonhurst%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754251884141!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Cooper Park ,"Morgan Ave, Brooklyn, NY 11211, United States",Brooklyn,Hard,Not Required,2,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.71600784,-73.93634853,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024.091981949333!2d-73.93891272397413!3d40.71599157139305!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c259532ea8d8c9%3A0x6761551bdf9c125!2sCooper%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754252170629!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Juniper Valley Tennis Courts,"Juniper Valley Park
62nd Ave. & 80th St.",Queens,Hard,"Required, but Rarely Checked",8,All Year,7 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.7203837,-73.87663342,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3023.892834678126!2d-73.8790152239739!3d40.720375571392395!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25e42a6210fc1%3A0xbb76d292c95a8e6a!2sJuniper%20Valley%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754255641043!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
USTA Billie Jean King Tennis Center,,Queens,Hard,Reservation,31,All Year except during the US Open,,"• Courts: 19 Outdoor Hard Courts, 12 Indoor Hard Courts.
• Access & Booking:
• NYC Tennis Permit required.
• Courts must be reserved in advance via the USTA BJK NTC website or CourtReserve app.
• Reservation Window: Bookings open two days ahead.
• Court Fee: $40 per hour (in addition to permit).
• Quality: Pristine, professional-grade courts. Play where the pros play!
• Wait Times: Can be very busy, especially during peak season.
• Amenities:
• Pro shop.
• Restrooms & changing rooms.
• Food & beverage concessions.",40.75016033,-73.8469958,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3022.5467548480274!2d-73.84957072397245!3d40.749997771387854!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25fd937d0be03%3A0xb0118df7792c6346!2sUSTA%20Billie%20Jean%20King%20National%20Tennis%20Center!5e1!3m2!1sen!2s!4v1754255930930!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Astoria Park Tennis Courts,"Astoria Park
21st St. & Hoyt Ave.",Queens,Hard,Required,14,All Year,7am til dusk,"• one hour for singles, two hours for doubles.
• Park Attendant present with sign up sheet, show up 30 minutes early to get a court
• Closing times: April 1st to may 13th 7 pm
• May 14th to sept 3rd 8 pm
• Sep 4th to 28th 7 pm seo 29th to nov 21st 5:00 pm",40.77580791,-73.92437605,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3021.3813713226523!2d-73.92697242397111!3d40.77562917138413!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25f4ff636e2c3%3A0x6ef69b1571e14d0b!2sAstoria%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754256056367!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Baisley Park Tennis Courts,"        Baisley Pond Park
155th St. & 118th Ave.",Queens,Hard,"Required, but Rarely Checked",4,All Year,7 am til 10 pm (Night Lights),"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.68083075,-73.78718099,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3025.6863383115515!2d-73.78972372397583!3d40.680879571398314!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c266d110c9e349%3A0xf9ad7bb551de8366!2sBaisley%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754256477940!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Baisley South Tennis Courts,"Baisley Pond Park
N. Conduit Ave. & 150th St.",Queens,Hard,"Required, but Rarely Checked",4,All Year,7 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.66966339,-73.78846549,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3026.196325878403!2d-73.79180685439556!3d40.66964299349404!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c266ddc4d3dca9%3A0x9d25759258931896!2sBaisley%20South%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754258218355!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Broad Channel Park Tennis Courts,"Broad Channel Park
Crossbay Blvd. and E. 16-E. 18 Rds.",Queens,Hard,"Required, but Rarely Checked",2,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.6008384,-73.81964941,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d843.8892588900732!2d-73.82056696113861!3d40.6007635180727!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2681320954a77%3A0x280a45be25623c8e!2sBroad%20Channel%20Park!5e1!3m2!1sen!2s!4v1754258392776!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Brookville Park Tennis Courts,"Brookville Park
Brookville Blvd. & Southern Pkwy.",Queens,Hard,"Required, but Rarely Checked",6,All Year,7am til 10 pm (Floodlights) ,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.66175203,-73.74444204,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d779.6642655823588!2d-73.74425133734785!3d40.661565437133675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2641f7e762bbf%3A0x92c942ceaa104181!2sBrookville%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754265336826!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Commonpoint Tennis and Athletic Center,"7920 Winchester Blvd, Queens, NY 11427",Queens,Hard,Reservation,15,April – November 22,7am til dusk,"• Outdoor season: April through November 22nd
• Courts 12-15:
• Book online through NYC Parks Department 24 hours in advance. Requires NYC Parks permit at $15 per person per hour
• Courts 6-11:
• Book through the Commonpoint Tennis and Athletic Center website. Requires NYC Parks permit or day pass which can be purchased at the front desk at $15 per person per hour
• Courts 1-5:
• Not available for rentals — reserved for Commonpoint tennis programs only
• Links:
• NYC Parks permit: https://www.nycgovparks.org/parks/alley-pond-park/facilities/tennis
• Court booking: https://commonpointtennis.org/",40.7399799,-73.7341983,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3023.0!2d-73.7341983!3d40.7399799!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2s7920+Winchester+Blvd%2C+Queens%2C+NY+11427!5e0!3m2!1sen!2sus!4v1754267835850!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Det. Keith L. Williams Park Tennis Courts,"Detective Keith L Williams Park
Liberty Ave. & 173rd St.",Queens,Hard,Free,10,All Year,6 am to 10 pm (Floodlights),"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.
• If you have a NYC tennis permit, bring your card just in case theres a park attendant",40.70370035,-73.78524533,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d829.7507357494391!2d-73.7857059413538!3d40.70339466585017!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c26123113bdd97%3A0xddeda542a661e4da!2sDetective%20Keith%20L.%20Williams%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1754268745369!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Flushing Fields Memorial Tennis Courts        ,"Flushing Fields
149th St. & 25th Ave.",Queens,Hard,"Required, but Rarely Checked",8,All Year,7am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.77483172,-73.8165726,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d901.0012844101984!2d-73.81760759830003!3d40.7742308588013!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28a9f3c3ced43%3A0xad661794f47185f8!2sFlushing%20Fields%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754268914194!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Forest Park Tennis Courts,"        Forest Park
Park Lane South & 89th St.",Queens,Hard,"Required, but Rarely Checked",5,All Year,8am-8pm,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.69747497,-73.85653946,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024.9514871637143!2d-73.85915228841394!3d40.69706607127653!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25de28076aa71%3A0x343414d1fc0a0bde!2sForest%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754269535654!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Kissena Park Tennis Courts       ,"Kissena Park
Rose & Oak Aves.",Queens,Hard and Har-Tru,"Required, but Rarely Checked",12 Courts (4 Hard and 8 Har-Tru),All Year,8am til dusk,"• 4 Hard and 8 Har-Tru Courts.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.7481879,-73.80979666,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1861.9145211953523!2d-73.81231794313894!3d40.74808776709079!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2604797c8aa0f%3A0xfdbb73700214b229!2sKissena%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754270016134!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Maurice Park Tennis Courts,"Frank Principe Park
Maurice Ave., LIE Service Rd. Westbound",Queens,Hard,Not Required,2,All Year,7am til dusk,"• Attendants dont enforce a maximum playtime which can be frustrating for those waiting.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.7274993,-73.90402952,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d755.8913059888288!2d-73.9039343!3d40.727586699999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25f85c271322b%3A0xcbf018c4f43af1c7!2sTennis%20Courts!5e0!3m2!1sen!2s!4v1754270174350!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Michaelis Bayswater Park Tennis Courts,"Bayswater Park
32nd St. & Dickens Ave.",Queens,Hard,Not Required,6,All Year,7 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.59872295,-73.76801314,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d836.8157133118809!2d-73.76889186404492!3d40.59904923733523!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c269003a41c7ad%3A0x83d0bfc98fa855fd!2sTennis%20Courts!5e0!3m2!1sen!2s!4v1754270730845!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Roy Wilkins Park Tennis Courts       ,"        Roy Wilkins Recreation Center
Merrick Blvd. & 119 Ave.",Queens,Hard,Required and Enforced,4,All Year,7am til dusk,"• No specific local tips available yet.Help us enhance this page!
• If you have insights or tips about playing at Roy Wilkins Park Tennis Courts, please email them to info@thenyctennisclub.com.
• Your contribution helps the entire community!",40.6860372,-73.76969412,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3025.406786020715!2d-73.77200618841441!3d40.68703787127799!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c261c032967275%3A0x6680a20f458ec752!2sRoy%20Wilkins%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754270911818!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Springfield Park Tennis Courts,"Springfield Park
147 Ave. & Springfield Ave.",Queens,Hard,Not Required,2,All Year,7 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.65981973,-73.76241859,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d751.8297847724679!2d-73.7634646421823!3d40.65995923127221!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c267e2a1c92047%3A0x1e84648bbcfed8fc!2sSpringfield%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754271224673!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
St. Albans Park        ,"Archie Spigner Park
Merrick Blvd. & 172nd St.",Queens,Hard,?,2,All Year,7am til dusk,,,,
Haffen Park Tennis Courts      ,"Haffen Park
Hammersley, Ely, and Gunther Aves",The Bronx,Hard,Not Required,6,All Year,7 am - 10 pm (Night Lights),"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.87401991,-73.84012822,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3016.9092476674477!2d-73.84274068840496!3d40.87386577125031!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c28cca94613181%3A0x347a9ab729a046e0!2sHaffen%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754274108968!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Stadium Tennis Center at Mill Pond Park        ,"Center at Mill Pond Park        Mill Pond Park
Gateway Center Boulevard (Exterior Street) and East 150th Street",The Bronx,,"Required, but Rarely Checked",11,All Year,8 am- 7 pm,"• Reservations from May 5th to October 15th.
• You can get a court without reservation by showing up, but no guarantees. 3 courts are available through reservation the other 8 are walk-on courts",40.82297474,-73.93163708,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1795.6734388906425!2d-73.93286861137452!3d40.823587985786936!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f5d43e2c05fb%3A0x46e82425fe48ff4b!2sMill%20Pond%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754334959363!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Van Cortlandt Park Tennis Courts       ,"Van Cortlandt Park
Stadium - W. 242nd St. and Broadway",The Bronx,,"Required, but Rarely Checked",6,All Year,7 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.89086878,-73.89287049,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d288.68906402024834!2d-73.89325866120578!3d40.8908944019126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f3a89087d30b%3A0x921b66f7f0879d14!2sVan%20Cortlandt%20Park%20Tennis%20Courts%20%F0%9F%8E%BE!5e0!3m2!1sen!2s!4v1754335365034!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Williamsbridge Oval Tennis Courts        ,"Williamsbridge Oval
E. 208th St. and Bainbridge Ave.",The Bronx,,"Required, but Rarely Checked",8,All Year,8 am til dusk,"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.87813553,-73.87779099,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3016.7194760027605!2d-73.88040882396601!3d40.878030071369174!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f372ad9555cd%3A0xaac3a896155b8919!2sWilliamsbridge%20Oval%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754335799042!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
